YJR139C|GO:0004412; GO:0009086; GO:0009088; GO:0009090; GO:0009097; GO:0050661
YOR177C|GO:0005198; GO:0032120; GO:0035974; GO:0048278
YOL110W|GO:0006612; GO:0016409; GO:0018345; GO:0031211; GO:0042406
YHR025W|GO:0004413; GO:0005524; GO:0009088; GO:0009092
YGR195W|GO:0000176; GO:0000177; GO:0000467; GO:0000790; GO:0016075; GO:0030847; GO:0034473; GO:0034475; GO:0034476; GO:0070478; GO:0071031; GO:0071038; GO:0071039; GO:0071051
YDR453C|GO:0005737; GO:0006457; GO:0008379; GO:0036091; GO:0042744; GO:0043433; GO:0045454; GO:0050821; GO:0051082; GO:0061692
YJL014W|GO:0005524; GO:0005832; GO:0006457; GO:0051082
YJL066C|GO:0005758; GO:0019898
YOL001W|GO:0000122; GO:0005634; GO:0006875; GO:0016242; GO:0016538; GO:0019901; GO:0032880; GO:0042144; GO:0045936; GO:0050849; GO:1990860
YCR079W|GO:0000422; GO:0004722; GO:0004741; GO:0005758; GO:0005759; GO:0016236; GO:0070262; GO:1901524; GO:1904184
YDR456W|GO:0000329; GO:0005769; GO:0005770; GO:0005802; GO:0007035; GO:0015385; GO:0015386; GO:0016021
YHR111W|GO:0001403; GO:0002143; GO:0004792; GO:0005524; GO:0005829; GO:0007114; GO:0018192; GO:0032447; GO:0034599; GO:0042292; GO:0042802; GO:0046872; GO:0070733; GO:2000220
YPL252C|GO:0005759; GO:0006744; GO:0006784; GO:0009055; GO:0016226; GO:0016653; GO:0051537
YKL221W|GO:0016021
YDL076C|GO:0016479; GO:0016575; GO:0033698
YDR259C|GO:0000122; GO:0000981; GO:0001010; GO:0005634; GO:0045944
YLR040C|GO:0000749; GO:0009277
YOR120W|GO:0003729; GO:0004032; GO:0019568; GO:0034599; GO:0042843; GO:0061610; GO:1990042
YML034W|GO:0000781; GO:0005635; GO:0016021; GO:0034087; GO:0043007
YER145C|GO:0005381; GO:0033573; GO:1901684
YDR281C|GO:0016021
YOR294W|GO:0000055; GO:0000447; GO:0005654; GO:0005730; GO:0030687; GO:0034399; GO:0042273
YDR228C|GO:0000993; GO:0003729; GO:0005829; GO:0005849; GO:0006378; GO:0030846; GO:0030847; GO:0098789
YNL040W|GO:0000166
YJR021C|GO:0000794; GO:0007131; GO:0042802
YFL039C|GO:0000011; GO:0000142; GO:0000812; GO:0004402; GO:0005200; GO:0005524; GO:0005884; GO:0006281; GO:0006897; GO:0009306; GO:0030010; GO:0030476; GO:0030479; GO:0031011; GO:0032432; GO:0034599; GO:0035267; GO:0042802; GO:1902404
YKL139W|GO:0004693; GO:0005524; GO:0005730; GO:0006413; GO:0018105; GO:0031124; GO:0032786; GO:0045903; GO:0045943; GO:0070692; GO:0070816
YDR126W|GO:0016021; GO:0017157; GO:0018345; GO:0019706; GO:0030010; GO:0030479; GO:0030866; GO:0032432; GO:0042144; GO:0042175
YDR173C|GO:0000122; GO:0000821; GO:0000823; GO:0000824; GO:0000825; GO:0000827; GO:0005634; GO:0008440; GO:0016236; GO:0030674; GO:0032958; GO:0035004; GO:0045944; GO:0050821
YNR049C|GO:0005628; GO:0005934; GO:0005935; GO:0006904; GO:0031201; GO:0032120; GO:0033101; GO:0061025
YDR305C|GO:0003824
YGR119C|GO:0006607; GO:0006999; GO:0017056; GO:0036228; GO:0042802; GO:0044613
YGL060W|GO:0000778; GO:0007052; GO:0034599; GO:0043505
YEL006W|GO:0005347; GO:0016021; GO:0051724
YPL036W|GO:0005524; GO:0005886; GO:0006885; GO:0008553; GO:0016021; GO:0120029
YML078W|GO:0003755; GO:0005739; GO:0006457; GO:0006915
YEL022W|GO:0000137; GO:0005086; GO:0006888; GO:0006890; GO:0006891; GO:0016236; GO:0019898; GO:0030036; GO:0032012; GO:0033363
YBL013W|GO:0004479; GO:0005739
YML074C|GO:0003755; GO:0005527; GO:0005730; GO:0006334; GO:0051598
YLL062C|GO:0008270; GO:0008898; GO:0009086; GO:0032259; GO:0047150
YBR093C|GO:0003993; GO:0009277; GO:0016036; GO:0017111; GO:0047429
YMR291W|GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0018105
YOR038C|GO:0000122; GO:0000417; GO:0003677; GO:0003714; GO:0005634; GO:0005829; GO:0006336; GO:0006368; GO:0031491
YGL205W|GO:0003997; GO:0005782; GO:0006635; GO:0071949
YJR030C|GO:0019320
YDR233C|GO:0005794; GO:0032541; GO:0032581; GO:0034976; GO:0048309; GO:0051292; GO:0071458; GO:0071788
YDR443C|GO:0000122; GO:0000435; GO:0003713; GO:0016592
YPL020C|GO:0000086; GO:0005635; GO:0005730; GO:0016926; GO:0044877; GO:0070140
YKR083C|GO:0000278; GO:0008608; GO:0031116; GO:0042729; GO:0051010; GO:0051987; GO:0072686
YPL010W|GO:0000139; GO:0006890; GO:0015031; GO:0030126
YOL115W|GO:0004652; GO:0005730; GO:0005829; GO:0006284; GO:0006400; GO:0031499; GO:0034458; GO:0034475; GO:0042138; GO:0045910; GO:0051575; GO:0071031; GO:0071035; GO:0071036; GO:0071037; GO:0071038; GO:0071039; GO:0071040; GO:0071042; GO:0071044; GO:0071050; GO:0071051
YDR308C|GO:0000122; GO:0001103; GO:0003713; GO:0003714; GO:0016592; GO:0045944; GO:0070847
YBR041W|GO:0000038; GO:0004467; GO:0005324; GO:0005777; GO:0005783; GO:0005811; GO:0006515; GO:0006633; GO:0016021; GO:0031235; GO:0031957; GO:0044539
YER081W|GO:0004617; GO:0006564; GO:0051287; GO:0061759
YGL062W|GO:0004736; GO:0005524; GO:0005829; GO:0006090; GO:0006094; GO:0009374; GO:0046872
YMR305C|GO:0000747; GO:0004553; GO:0005576; GO:0005975; GO:0009277
YJL008C|GO:0005524; GO:0005832; GO:0006457; GO:0051082
YDR318W|GO:0000817; GO:0034087; GO:0034508; GO:0071459; GO:1905262
YEL036C|GO:0000009; GO:0000136; GO:0006487
YBL036C|GO:0030170
YML006C|GO:0005886; GO:0006873; GO:0035556
YDR328C|GO:0000082; GO:0000086; GO:0000921; GO:0003688; GO:0005634; GO:0007035; GO:0007096; GO:0010458; GO:0019005; GO:0031146; GO:0031518; GO:0043254; GO:0043291; GO:0045116; GO:0051382; GO:0061630; GO:2000766
YHR004C|GO:0004721; GO:0005811; GO:0006998; GO:0016021; GO:0071072; GO:0071595; GO:1903740
YKL135C|GO:0006886; GO:0006896; GO:0030121; GO:0030276
YOR313C|GO:0030437
YGL019W|GO:0005956; GO:0006356; GO:0006359; GO:0006974; GO:0018105; GO:0018107; GO:0030291; GO:0034456
YIL070C|GO:0005759; GO:0008494; GO:0009060; GO:0070131
YCR059C|GO:0003785; GO:0004860; GO:0031333; GO:0043022; GO:0060733; GO:1905538
YMR203W|GO:0005742; GO:0008320; GO:0030150
YDR503C|GO:0006644; GO:0008195; GO:0016021
YIL131C|GO:0000978; GO:0001227; GO:0001228; GO:0003682; GO:0003688; GO:0005634; GO:0005829; GO:0006338; GO:0006369; GO:0007535; GO:0019237; GO:0031124; GO:0034244; GO:0071406; GO:0071930; GO:0090055; GO:0090282; GO:0090419; GO:1903468; GO:2000221
YLR417W|GO:0000433; GO:0000814; GO:0016236; GO:0032258; GO:0032266; GO:0032509; GO:0043130; GO:0045053; GO:1904669
YLR001C|GO:0016021
YDL002C|GO:0000404; GO:0000722; GO:0006302; GO:0031011; GO:0042766; GO:0045027
YHR031C|GO:0000002; GO:0000723; GO:0000781; GO:0005524; GO:0006281; GO:0043139; GO:0043596; GO:0044806; GO:0051880; GO:0071932; GO:0097046; GO:0098781
YLR221C|GO:0000027; GO:0030687
YMR118C|GO:0000104; GO:0006099; GO:0009055; GO:0016021; GO:0045281
YPR145W|GO:0004066; GO:0005524; GO:0006529; GO:0006541
YBR242W|GO:0002953; GO:0009159; GO:0050484
YPR069C|GO:0004766; GO:0008295; GO:0015940
YER136W|GO:0005093; GO:0007264; GO:0015031; GO:0016192
YGR235C|GO:0042407; GO:0044284; GO:0061617
YNL024C|GO:0005737; GO:0016279
YER054C|GO:0000164; GO:0005977; GO:0006470; GO:0019888
YER152C|GO:0003824; GO:0009058; GO:0030170
YCR012W|GO:0004618; GO:0005524; GO:0005739; GO:0006094; GO:0006096
YDR078C|GO:0000730; GO:0035861; GO:0043007; GO:0097196
YDR166C|GO:0000131; GO:0000145; GO:0001927; GO:0005934; GO:0005935; GO:0006893; GO:0015031; GO:0048309
YCR084C|GO:0000122; GO:0000433; GO:0001198; GO:0003714; GO:0005634; GO:0016584; GO:0017053; GO:0036033; GO:0042393; GO:0042826; GO:0043486; GO:0045944; GO:0060256; GO:0080025; GO:1900192; GO:2000217; GO:2001020
YGL017W|GO:0004057
YMR273C|GO:0000131; GO:0001302; GO:0004864; GO:0005737; GO:0005934; GO:0005935; GO:0006342; GO:0006406; GO:0010971; GO:0030010; GO:0032880
YOR160W|GO:0005634; GO:0005737; GO:0006606; GO:0008139; GO:0008536; GO:0051031; GO:0061015
YLR226W|GO:0000307; GO:0006353; GO:0006368; GO:0016538; GO:0033184; GO:0042025; GO:0051571; GO:0070816
YER116C|GO:0000723; GO:0000778; GO:0004842; GO:0006974; GO:0016925; GO:0033768; GO:0046872
YGR203W|GO:0004792; GO:0016791
YER010C|GO:0008948; GO:0019619; GO:0047443
YJL006C|GO:0005730; GO:0005829; GO:0006357; GO:0006468; GO:0016538; GO:0032786; GO:0042025; GO:0045903; GO:0045943; GO:0070692
YMR097C|GO:0005525; GO:0005743; GO:0032543
YOR128C|GO:0004638; GO:0005524; GO:0006144; GO:0006189; GO:0043727; GO:0046872
YLR333C|GO:0003735; GO:0022627
YOR245C|GO:0004144; GO:0005789; GO:0005811; GO:0006071; GO:0006672; GO:0016021; GO:0019432; GO:0035356; GO:0140042
YPR144C|GO:0000447; GO:0000472; GO:0000480; GO:0005730; GO:0005829; GO:0030692; GO:0032040
YHR072W|GO:0000250; GO:0005811; GO:0006696; GO:0016104; GO:0042300
YNL009W|GO:0000287; GO:0004450; GO:0005777; GO:0006099; GO:0006102; GO:0006635; GO:0051287
YMR307W|GO:0000902; GO:0000917; GO:0000936; GO:0005621; GO:0005886; GO:0006342; GO:0007163; GO:0007568; GO:0030134; GO:0030447; GO:0031225; GO:0034399; GO:0035840; GO:0035841; GO:0042124; GO:0043188; GO:0045121; GO:0071940; GO:0071970; GO:1905897
YJL072C|GO:0000727; GO:0000790; GO:0000811; GO:0031298; GO:0071162; GO:1902969
YMR059W|GO:0000213; GO:0000214; GO:0000379
YGL020C|GO:0000139; GO:0000423; GO:0005789; GO:0006890; GO:0016021; GO:0043495; GO:0043529; GO:0071816
YNL202W|GO:0005782; GO:0008670; GO:0009062; GO:0030437
YIR024C|GO:0033615; GO:1990524
YGR102C|GO:0005524; GO:0005743; GO:0030956; GO:0032543; GO:0050567; GO:0070681
YOL058W|GO:0004055; GO:0005524; GO:0005829; GO:0006526
YKL047W|GO:0005811
YFR021W|GO:0000329; GO:0000407; GO:0005768; GO:0005829; GO:0006624; GO:0016236; GO:0030242; GO:0032258; GO:0032266; GO:0034727; GO:0043130; GO:0044090; GO:0044805; GO:0045324; GO:0061908; GO:0070273; GO:0070772; GO:0080025
YOR310C|GO:0000447; GO:0000472; GO:0000480; GO:0016021; GO:0017069; GO:0031428; GO:0032040; GO:1902570
YKR036C|GO:0000266; GO:0005739; GO:0006357; GO:0016559; GO:0030014
YNL086W|GO:0007032; GO:0031083; GO:0032880
YBR103W|GO:0016575; GO:0031939; GO:0032874; GO:0034967; GO:0045835
YCR077C|GO:0000290; GO:0000776; GO:0000932; GO:0001731; GO:0003682; GO:0003729; GO:0005634; GO:0010494; GO:0022627; GO:0033962; GO:0045947; GO:1990726
YOR178C|GO:0000164; GO:0005977; GO:0007094; GO:0009408; GO:0019888; GO:0031072; GO:0051321
YBL072C|GO:0003735; GO:0005840; GO:0006412
YGR175C|GO:0004506; GO:0005783; GO:0005811; GO:0006696; GO:0008144; GO:0016021; GO:0050660
YBR110W|GO:0005783; GO:0006487; GO:0006490; GO:0016021; GO:0019187
YHR134W|GO:0000324; GO:0004222; GO:0005635; GO:0010224; GO:0010225; GO:0019985; GO:0032183; GO:0036205; GO:0061665; GO:1990414; GO:1990466
YLR441C|GO:0000462; GO:0003735; GO:0006412; GO:0022627
YKL133C|GO:0016021
YHR137W|GO:0006571; GO:0008793; GO:0009094; GO:0030170; GO:0036137
YPL215W|GO:0000329; GO:0003729; GO:0005761; GO:0032592; GO:0034551; GO:0043022; GO:0061671; GO:0070131
YOR233W|GO:0004674; GO:0005524; GO:0005816; GO:0005935; GO:0005938; GO:0031578; GO:0071988
YNL042W|GO:0071406
YDL173W|GO:0005737
YNL032W|GO:0004725; GO:0007015; GO:0046855; GO:0052845; GO:0052847; GO:0106211
